iter	Logloss
0	0.608096483
1	0.489596049
2	0.4174894969
3	3	0.3458442944	4	0.299205199
5	0.2667380327
6	0.2365370997
7	0.2078356711
8	0.1897926331
9	0.1667239334
10	0.1459702119
11	0.1270209559
12	0.1110155977
13	0.09967593641
14	0.09224281564
15	0.08340604416
16	0.07401298371
17	0.0675804118	018	0.0614675019	019	0.0557055420	020	0.0500103321	021	0.0469659322	0.03678763707
23	0.03350404369
24	0.0315255589
25	0.02944408788
26	0.02759880225
27	0.02484204769
28	0.02328073714
29	0.02177708149
30	0.02053982019
31	0.0188201242
32	0.01765162415
33	0.0167009857
34	0.01579230362
35	0.01498520374
36	0.01410958767
37	0.01333506107
38	0.01278376844
39	0.01203786267
40	0.01145906846
41	0.01102283266
42	0.01035863161
43	0.009933827983
44	0.009598186281
45	0.009336192078
46	0.009032367335
47	0.008580127027
48	0.008138202296
49	0.007865161366
50	0.007619551155
51	0.007314368751
52	0.006981877486
53	0.006667076217
54	0.006453847885
55	0.006241040097
56	0.006026328272
57	0.005898061064
58	0.00569310983
59	0.005510763658
60	0.005277026693
61	0.00509471794
62	0.004958767692
63	0.0048294829
64	0.004694999589
65	0.004536984033
66	0.004367145565
67	0.004298393263
68	0.004181700945
69	0.004087186191
70	0.003967200054
71	0.003842416075
72	0.003731134865
73	0.003619641728
74	0.003534811073
75	0.003466697534
76	0.003360538019
77	0.003300493293
78	0.003193997012
79	0.003122252557
80	0.00305387444
81	0.002976353301
82	0.002914536662
83	0.002823899521
84	0.002757008208
85	0.002704174651
86	0.002667182518
87	0.002625182933
88	0.002562423878
89	0.002513112956
90	0.002474638489
91	0.002430039975
92	0.002387293511
93	0.002325366934
94	0.002262315485
95	0.002237167954
96	0.002211992608
97	0.002171343234
98	0.002125836743
99	0.002077909642
100	0.002040144636
101	0.002005393638
102	0.001956543989
103	0.00192747977
104	0.001887954275
105	0.001858190364
106	0.001837418146
107	0.001806869109
108	0.001777742472
109	0.001748315328
110	0.001717713806
111	0.001684256064
112	0.001659389006
113	0.001643193265
114	0.001623929209
115	0.001595116986
116	0.00157677316
117	0.001541815698
118	0.001522523165
119	0.001503076818
120	0.001485232678
121	0.001466410855
122	0.001445471081
123	0.001431878408
124	0.001399845878
125	0.001378928125
126	0.001360367404
127	0.00134477218
128	0.00132711033
129	0.001316472474
130	0.001300249249
131	0.001282374147
132	0.001263089644
133	0.00124732554
134	0.001232790119
135	0.001232763297
136	0.001232758164
137	0.00121649214
138	0.00119872267
139	0.001186100559
140	0.001168898079
141	0.001162097603
142	0.001144506865
143	0.001132614083
144	0.00111846543
145	0.001118450529
146	0.00110209816
147	0.001091308064
148	0.001079394668
149	0.001069646991
150	0.001058435606
151	0.001047102114
152	0.001036295626
153	0.001029041658
154	0.001029063678
155	0.001014541172
156	0.001003018187
157	0.0009935714304
158	0.0009838597642
159	0.0009738672939
160	0.0009738514821
161	0.0009657374687
162	0.0009561888874
163	0.0009561724133
164	0.0009561691019
165	0.000956108835
166	0.0009561222461
167	0.0009446963668
168	0.0009446998437
169	0.000944661763
170	0.000944661763
171	0.0009445990125
172	0.0009360700846
173	0.0009360593226
174	0.0009360683461
175	0.0009273882541
176	0.0009182489581
177	0.0009182363749
178	0.0009088847372
179	0.0009088882142
180	0.0009007395969
181	0.0009007587201
182	0.0009007587201
183	0.0008920568559
184	0.0008835499485
185	0.0008764250411
186	0.0008763965633
187	0.0008682250977
188	0.0008682078785
189	0.0008607519997
190	0.0008607440525
191	0.0008607506752
192	0.000860720459
193	0.0008607460393
194	0.0008607460393
195	0.0008530235953
196	0.0008530235953
197	0.0008530235953
198	0.0008530285623
199	0.0008530345228
